Rank,Person,Outlet / Platform,Primary Medium
98,Benny Johnson,YOUTUBE,Podcast
99,Fareed Zakaria,CNN,
100,Jonathan Karl,ABC,Broadcast TV
101,Markie Martin,NEWSNATION,Cable TV
102,Coleman Hughes,,
103,Victor Blackwell,CNN,Cable TV
104,Michelle Goldberg,NYT,
105,Steven Crowder,RUMBLE,Podcast
106,Jen Psaki,MS NOW,Cable TV
107,Jane Pauley,CBS,
108,Allie Beth Stuckey,BLAZE,Podcast
109,Matt Taibbi,RACKET,Print
110,Astead Herndon,NYT,Podcast
111,Pamela Brown,CNN,Cable TV
112,Vivek Ramaswamy,YOUTUBE,Podcast
113,Kayleigh McEnany,FOX,Cable TV
114,Geoff Bennett,PBS,Broadcast TV
115,Shankar Vedantam,NPR,
116,Brianna Keilar,CNN,Cable TV
117,Michael Barbaro,NYT,Podcast
118,Savannah Guthrie,NBC,Broadcast TV
119,Ayman Mohyeldin,MS NOW,Cable TV
120,Patrick Bet-David,VALUETAINMENT,Podcast
121,Tucker Carlson,TCN,Podcast
122,Reihan Salam,FREE PRESS,Print
123,Alex Thompson,AXIOS,Print
124,Marni Hughes,NEWSNATION,Cable TV
125,Natalie Kitroeff,NYT,
126,Steve Kornacki,MS NOW,Cable TV
127,Nicolle Wallace,MS NOW,Cable TV
128,Kate Bolduan,CNN,Cable TV
129,Yamiche Alcindor,NBC,Broadcast TV
130,Jamelle Bouie,NYT,Print
131,Jon Stewart,SPOTIFY,Podcast
132,Jonah Goldberg,,
133,Michael Shellenberger,,
134,Tim Pool,,
135,Dasha Burns,POLITICO,Print
136,Brett Cooper,,
137,Emily Jashinsky,,
138,Hasan Piker,TWITCH,Podcast
139,Jonathan Martin,POLITICO,Print
140,Rob Schmitt,Newsmax cable host,
141,Theo Von,YOUTUBE,
142,Glenn Greenwald,INDEPENDENT,
143,Michel Martin,NPR,
144,Jon Favreau,CROOKED MEDIA,
145,Nellie Bowles,,
146,Jon Lovett,Podcast,
147,Glenn Loury,,
148,Sarah Longwell,,
149,Glenn Beck,BLAZE,Radio
150,Eugene Daniels,POLITICO,Print
