Rank,Person,Outlet / Platform,Primary Medium,ViewerScorey,Distro 1,Distro 2 ,Distro 3,Distro 4,Distro 5,Distro 6,Distro 7
41,Steve Inskeep,NPR,Radio + Podcast,"6,621,499",2.66,1.649,1.013,0.617,0.378,0.302,0.004
42,Anne Applebaum,The Atlantic,Print,"6,583,222",2.644,1.639,1.007,0.613,0.375,0.3,0.004
43,John Dickerson,CBS,Broadcast TV,"6,305,151",2.533,1.57,0.964,0.587,0.36,0.288,0.004
44,Brian Kilmeade,FOX,Cable TV + Radio,"6,024,046",2.42,1.5,0.921,0.561,0.343,0.275,0.004
45,Dana Bash,CNN,Cable TV,"5,917,407",2.377,1.473,0.905,0.551,0.337,0.27,0.004
46,Lex Fridman,YOUTUBE,Podcast,"5,779,149",2.321,1.439,0.884,0.538,0.329,0.264,0.004
47,Anderson Cooper,CNN,Cable TV,"5,673,335",2.279,1.412,0.868,0.528,0.323,0.259,0.004
48,Shawn Ryan,YOUTUBE,Podcast,"5,561,204",2.234,1.384,0.851,0.518,0.317,0.254,0.004
49,Kasie Hunt,CNN,Cable TV,"5,485,901",2.203,1.366,0.839,0.511,0.313,0.25,0.004
50,David Brooks,NYT / PBS,Print,"5,437,268",2.184,1.354,0.832,0.506,0.31,0.248,0.004
51,Bianna Golodryga,CNN,Cable TV,"5,411,375",2.173,1.347,0.828,0.504,0.309,0.247,0.004
52,Thomas Friedman,NYT,Print,"5,360,159",2.153,1.334,0.82,0.499,0.306,0.244,0.004
53,Marni Hughes,NEWSNATION,Cable TV,"4,988,797",2.004,1.242,0.763,0.465,0.284,0.228,0.004
54,Jake Tapper,CNN,Cable TV,"4,898,002",1.967,1.219,0.749,0.456,0.279,0.223,0.004
55,Kai Ryssdal,NPR / APM,Radio + Podcast,"4,752,518",1.909,1.183,0.727,0.442,0.271,0.217,0.004
56,Jordan Peterson,YOUTUBE,Podcast,"4,738,969",1.903,1.18,0.725,0.441,0.27,0.216,0.004
57,Peter Doocy,FOX,Cable TV,"4,519,145",1.815,1.125,0.691,0.421,0.258,0.206,0.004
58,Harris Faulkner,FOX,Cable TV,"4,423,847",1.776,1.101,0.676,0.412,0.252,0.202,0.004
59,Matt Walsh,DAILYWIRE,Podcast,"4,349,649",1.747,1.083,0.665,0.405,0.248,0.198,0.004
60,Maureen Dowd,NYT,Print,"4,273,458",1.716,1.064,0.653,0.398,0.244,0.195,0.004
61,Pamela Brown,CNN,Cable TV,"4,162,971",1.672,1.036,0.637,0.388,0.237,0.19,0.004
62,Terry Gross,NPR,Radio + Podcast,"4,027,037",1.617,1.002,0.616,0.375,0.23,0.184,0.004
63,Scott Galloway,Pivot,Podcast,"4,000,261",1.606,0.996,0.612,0.372,0.228,0.182,0.004
64,Anna Kooiman,NEWSNATION,Cable TV,"3,835,319",1.54,0.955,0.586,0.357,0.219,0.175,0.004
65,Mary Louise Kelly,NPR,Radio + Podcast,"3,778,518",1.517,0.94,0.578,0.352,0.215,0.172,0.004
66,Nate Silver,SUBSTACK,Podcast,"3,750,579",1.506,0.933,0.573,0.349,0.214,0.171,0.004
67,Ben Meiselas,MEIDASTOUCH,Podcast,"3,668,530",1.473,0.913,0.561,0.341,0.209,0.167,0.004
68,Douglas Murray,The Free Press,Print ,"3,517,500",1.412,0.875,0.538,0.327,0.2,0.16,0.004
69,Shannon Bream,FOX,Cable TV,"3,455,710",1.387,0.86,0.528,0.322,0.197,0.158,0.004
70,Nick Smith,NEWSNATION,Cable TV,"3,404,887",1.367,0.847,0.521,0.317,0.194,0.155,0.004
