Final Rank,Person,Affiliation,Primary Medium,D-,D,S,R,R-,Reach / Audience Signal,Weekly
26,Ross Douthat,NYT,Print / Digital,5,19,100,37,8,Major NYT Opinion readership;,
27,Katie Pavlich,NEWSNATION,Cable TV,3,10,27,100,17,Primetime NewsNation audience,
28,Dan Bongino,RUMBLE,Podcast / Social,2,5,12,25,77,~2.5M daily audio/video signal,
29,Blake Burman,NEWSNATION,Cable TV,4,21,100,27,6,National political-news audience,
30,Maggie Haberman,NYT,Print / Digital,18,100,23,11,4,Major national political readership; ,
31,Michael Smerconish,CNN,Cable TV,8,29,100,21,5,~500K–700K TV ;  SiriusXM audience,
32,Chris Cuomo,NEWSNATION,Cable TV,7,25,100,23,6,~254K avg. Q2 2026; network’s #1 show,
33,Mark Levin,FOX,Cable TV,2,5,12,25,90,~12M weekly radio listeners,
34,Chris Stirewalt,NEWSNATION,Cable TV,3,16,100,34,7,Cross-program political audience,
35,Hasan Piker,TWITCH,Podcast / YouTube,100,30,8,3,1,One of largest political streamers,
36,Jesse Weber,NEWSNATION,Cable TV,5,24,100,23,5,NewsNation / legal-news audience,
37,Jessica Tarlov,FOX,Cable TV,100,40,13,5,2,3M+ The Five program audience*,
38,Theo Von,YOUTUBE,Podcast / YouTube,10,23,100,22,7,Top-5 U.S. podcast reach,
39,Ben Meiselas,MEIDASTOUCH,Podcast / YouTube,100,44,13,5,2,6.43M MeidasTouch YouTube subscribers*,
40,Brian Entin,NEWSNATION,Cable TV,5,24,100,22,5,Large breaking-news / social reach,
41,George Stephanopoulos,ABC,Broadcast TV,8,100,28,25,7,~2–3M program audience*,
42,Shannon Bream,FOX,Cable TV,4,10,22,100,18,~1.5–2M Sunday audience,
43,David Pakman,YOUTUBE,Podcast / YouTube,100,46,13,5,2,multi-million YouTube/social audience,
44,Brian Kilmeade,FOX,Cable TV,4,10,22,100,18,~1.5–2M ,
45,Tucker Carlson,TCN,Podcast / Social,1,3,8,30,95,5.72M YouTube subscribers; Top-10 podcast,
46,Shawn Ryan,YOUTUBE,Podcast / YouTube,10,23,100,22,7,Top 50 U.S. podcast ,
47,Nicolle Wallace,MSNOW,Cable TV,100,42,13,5,2,~1M+ viewers,
48,Lex Fridman,YOUTUBE,Podcast / YouTube,10,23,100,22,7,~2.2M views per episode,
49,Chris Hayes,MSNOW,Cable TV,100,38,13,5,2,~1.2M nightly,
50,David Brooks,NYT / PBS,Print / Digital,8,31,100,22,4,Major NYT readership ,
51,Anderson Cooper,CNN,Cable TV,8,100,28,25,7,~600K–700K nightly,
52,Krystal Ball,BREAKINGPOINTS,Digital Video,100,35,28,11,4,1M+ Breaking Points subscriber base*,
53,Saagar Enjeti,BREAKINGPOINTS,Digital Video,5,13,31,100,7,1M+ Breaking Points subscriber base*,
54,Jon Stewart,COMEDY,Cable TV,100,48,13,5,2,multi-million TV/digital reach,
55,Margaret Brennan,CBS,Broadcast TV,8,100,28,25,7,~2M+ Sunday-news audience,
56,Harold Ford Jr.,FOX,Cable TV,4,10,100,7,18,3M+ The Five program audience*,
57,Jake Tapper,CNN,Cable TV,100,32,28,25,7,National political audience,
58,Cenk Uygur,TYT,Digital Video,100,30,8,3,1,multi-million TYT network audience*,
59,Fareed Zakaria,CNN,Cable TV,12,100,13,15,4,~500K–700K typical TV audience; ,
60,Maureen Dowd,NYT,Print / Digital,23,100,13,7,2,Major NYT opinion readership; ,
61,Kaitlan Collins,CNN,Cable TV,100,32,28,25,7,~574K+ nightly,
62,Glenn Beck,BLAZE,Radio,2,5,12,20,85,~10M weekly radio listeners,
63,Mary Louise Kelly,NPR,Radio,100,42,22,13,5,~14.7M weekly program audience,
64,Kristen Welker,NBC,Broadcast TV,8,100,28,25,7,~2.2M weekly,
65,Terry Gross,NPR,Radio,100,42,22,13,5,~4.5M weekly,
66,Nate Silver,SUBSTACK,Podcast / Social,100,42,22,13,5,Large politics and elections audience,
67,Mehdi Hasan,ZETEO,Digital Video,100,48,13,5,2,Major digital-news audience,
68,Rachel Maddow,MSNOW,Cable TV,100,48,13,5,2,~2.0M viewers,
69,Andrew Huberman,YOUTUBE,Podcast / YouTube,10,23,100,22,7,~3.5M downloads/views per episode,
70,Lawrence O'Donnell,MSNOW,Cable TV,100,48,13,5,2,~1.5–1.7M viewers,
71,Candace Owens,YOUTUBE,Podcast / Social,2,5,12,15,80,#6 podcast in recent national ranking,
72,Abby Phillip,CNN,Cable TV,100,32,28,25,7,~500K–700K nightly,
73,Hena Doba,NEWSNATION,Cable TV,5,24,100,22,5,Large breaking-news / social reach,
