Rank,Person,Outlet / Platform,Primary Medium,ViewerScorey,Distro 1,Distro 2 ,Distro 3,Distro 4,Distro 5,Distro 6,Distro 7
130,Jamelle Bouie,NYT,Print,"1,185,102",0.475,0.294,0.181,0.11,0.067,0.054,0.004
131,Jon Stewart,SPOTIFY,Podcast,"1,159,427",0.464,0.288,0.177,0.108,0.066,0.053,0.004
132,Jonah Goldberg,THE DISPATCH,Podcast,"1,133,751",0.454,0.281,0.173,0.105,0.064,0.052,0.004
133,Michael Shellenberger,PUBLIC,Print,"1,108,075",0.444,0.275,0.169,0.103,0.063,0.05,0.004
134,Tim Pool,TIMCAST,Podcast,"1,082,399",0.433,0.269,0.165,0.1,0.062,0.049,0.004
135,Dasha Burns,POLITICO,Print,"1,056,723",0.423,0.262,0.161,0.098,0.06,0.048,0.004
136,Brett Cooper,YOUTUBE,Podcast,"1,031,047",0.413,0.256,0.157,0.096,0.059,0.047,0.004
137,Yamiche Alcindor,NBC,Broadcast TV,"1,005,372",0.402,0.249,0.153,0.093,0.057,0.046,0.004
138,Hasan Piker,TWITCH,Podcast,"979,696",0.392,0.243,0.149,0.091,0.056,0.045,0.004
139,Brianna Keilar,CNN,Cable TV,"954,020",0.382,0.237,0.145,0.089,0.054,0.043,0.004
140,Rob Schmitt,Newsmax cable host,Cable TV,"928,344",0.372,0.23,0.141,0.086,0.053,0.042,0.004
141,Theo Von,YOUTUBE,Podcast,"902,668",0.361,0.224,0.138,0.084,0.051,0.041,0.004
142,Glenn Greenwald,INDEPENDENT,Digital Video,"874,392",0.35,0.217,0.133,0.081,0.05,0.04,0.004
143,Erin Burnett,CNN,Cable TV,"851,317",0.341,0.211,0.13,0.079,0.048,0.039,0.004
144,Steve Kornacki,MS NOW,Cable TV,"817,463",0.327,0.203,0.125,0.076,0.046,0.037,0.004
145,Greg Ip,The Wall Street Journal,Print,"783,926",0.313,0.194,0.119,0.073,0.044,0.036,0.004
146,Jonathan Martin,POLITICO,Print,"757,832",0.303,0.188,0.115,0.07,0.043,0.034,0.004
147,Glenn Loury,THE GLENN SHOW,Podcast,"748,613",0.299,0.186,0.114,0.069,0.042,0.034,0.004
148,Sarah Longwell,THE BULWARK,Podcast,"722,937",0.289,0.179,0.11,0.067,0.041,0.033,0.004
149,Krystal Ball,BREAKINGPOINTS,Digital Video,"667,814",0.267,0.165,0.102,0.062,0.038,0.03,0.004
150,Michel Martin,NPR,Radio + Podcast,"672,953",0.269,0.167,0.102,0.062,0.038,0.031,0.004
151,Saagar Enjeti,BREAKINGPOINTS,Digital Video,"681,427",0.272,0.169,0.104,0.063,0.039,0.031,0.004
152,Geoff Bennett,PBS,Broadcast TV,"689,116",0.275,0.171,0.105,0.064,0.039,0.031,0.004
153,Nellie Bowles,THE FREE PRESS,Print,"694,802",0.278,0.172,0.106,0.064,0.039,0.032,0.004
154,Glenn Beck,BLAZE,Radio + Podcast,"668,174",0.267,0.165,0.102,0.062,0.038,0.03,0.004
155,Jarod Taylor ,American Renaissance,Print,"681,925",0.272,0.169,0.104,0.063,0.039,0.031,0.004
156,Ana Kasparian,TYT,Digital Video,"672,483",0.269,0.167,0.102,0.062,0.038,0.031,0.004
157,Coleman Hughes,THE FREE PRESS,Podcast,"662,391",0.265,0.164,0.101,0.061,0.038,0.03,0.004
158,Clay Travis,PREMIERE / iHEART,Radio + Podcast,"662,001",0.264,0.164,0.101,0.061,0.038,0.03,0.004
159,Buck Sexton,PREMIERE / iHEART,Radio + Podcast,"661,885",0.264,0.164,0.101,0.061,0.038,0.03,0.004
160,Michael Barbaro,The Daily,Podcast,"591,913",0.236,0.146,0.09,0.055,0.034,0.027,0.004
161,Andrew Huberman,YOUTUBE,Podcast,"580,719",0.232,0.144,0.088,0.054,0.033,0.026,0.004
162,David Frum,The Atlantic,Print,"578,077",0.231,0.143,0.088,0.053,0.033,0.026,0.004
163,Eugene Daniels,POLITICO,Print,"521,174",0.208,0.129,0.079,0.048,0.03,0.024,0.004
164,George Packer,The Atlantic,Print,"512,914",0.205,0.127,0.078,0.047,0.029,0.023,0.004
165,Shankar Vedantam,NPR,Radio + Podcast,"509,550",0.203,0.126,0.077,0.047,0.029,0.023,0.004
166,Dave Ramsey ,RAMSEY NETWORK,Radio + Podcast,"506,974",0.202,0.125,0.077,0.047,0.029,0.023,0.004
167,Howard Stern ,SIRIUSXM,Radio + Podcast,"506,003",0.202,0.125,0.077,0.047,0.029,0.023,0.004
168,Natalie Kitroeff,NYT,Podcast,"505,900",0.202,0.125,0.077,0.047,0.029,0.023,0.004
